"event_id","date","event_description","evidence_level","source_ids","significance"
"E-2005-001","2005-03","公开记录显示，棕榈滩地区警方因家属报案启动调查。","A","S06;S07","说明案件起点是基层报案而非高层政治指令。"
"E-2006-001","2006-05","警方向地方检方提交较重罪名建议。","A","S07","形成“执法建议强、起诉采纳弱”的制度落差。"
"E-2006-002","2006-07","州层级大陪审团起诉范围较窄，未覆盖联邦调查所涉全部指控维度。","A","S07;S23","成为后续联邦处置争议的重要起点。"
"E-2006-003","2006-08","联邦调查路径持续推进，州联邦双轨并行。","A","S07","反映跨层级案件移送与协同的复杂性。"
"E-2006-004","2006-Q4","公开材料称曾讨论或起草更重联邦起诉方案，但未进入公开审判。","A","S07","凸显检察裁量在重大案件中的决定性作用。"
"E-2007-001","2007-Q2-Q3","辩检围绕联邦处置进行密集协商。","A","S07","进入案件核心争议阶段：协商边界与程序公平。"
"E-2007-002","2007-09-24","非起诉协议（NPA）签署。","A","S07;S04","构成案件历史中的关键制度转折点。"
"E-2007-003","2007-09-24","后续司法文书认定，受害者在谈判阶段未获得充分程序性告知。","A","S04;S05","为后续CVRA诉讼奠定法律基础。"
"E-2008-001","2008-06-30","被告在佛罗里达州程序中认罪。","A","S07;S23","州案处理与联邦不追诉路径形成既成事实。"
"E-2008-002","2008-07","州案量刑与羁押执行安排开始。","A","S07;S23","引发外界对量刑比例与执行方式的长期争论。"
"E-2008-003","2008-07","受害者侧提起CVRA相关民事诉讼（Doe v. United States）。","A","S03;S04","将争议从实体犯罪转入程序权利审查。"
"E-2011-001","2011-09-08","S.D. Fla.作出CVRA重要程序性裁定（是否可前置适用成为焦点）。","A","S05","确立后续上诉与制度争论的法理基础。"
"E-2015-001","2015-09-21","Giuffre v. Maxwell民事案在SDNY立案，后续文档成为公开信息重要来源。","A","S30","为后续档案解封与信息再审提供程序入口。"
"E-2018-001","2018-11-28","调查性报道重新聚焦案件处置过程。","B","S06;S07","媒体监督与既有案卷结合，触发再审视窗口。"
"E-2019-001","2019-02-21","S.D. Fla.裁定检方在NPA过程存在CVRA程序问题。","A","S04","将“程序正义”明确置于公共争论中心。"
"E-2019-002","2019-07-06","联邦执法重新逮捕，案件进入SDNY新刑事程序。","A","S01;S03","标志案件从历史争议转入新一轮刑事主流程。"
"E-2019-003","2019-07-08","SDNY公开起诉并解封起诉书。","A","S01;S02","形成可核验的联邦指控框架。"
"E-2019-004","2019-07-18","联邦法院作出羁押相关决定，未准保释。","B","S03","反映法院对潜逃与程序风险评估。"
"E-2019-005","2019-08-10","被告在联邦羁押期间死亡。","A","S14;S15","导致主刑事案无法进入实体审判终局。"
"E-2019-006","2019-08-29","联邦检方申请并完成nolle prosequi，刑事案终止。","A","S03","程序终止后，问责焦点转向共犯、机构失职与档案公开。"
"E-2019-007","2019-H2","围绕CVRA与NPA效力的上诉程序继续推进。","A","S05","案件法律争点从个案事实转向制度边界。"
"E-2020-001","2020-07-02","Maxwell在联邦被起诉并逮捕。","A","S08;S11","形成对网络化协同犯罪指控的替代性司法路径。"
"E-2020-002","2020-07","法院在审前程序中维持羁押安排。","B","S11","显示法院对审前风险控制的持续立场。"
"E-2020-003","2020-11-12","DOJ公开OPR执行摘要与声明。","A","S06;S07","对2006-2008处置争议给出官方审查结论。"
"E-2021-001","2021-03-29","Maxwell案提交后续/替代起诉文书（superseding indictment）。","A","S11","体现检方对指控结构与证据组织的调整。"
"E-2021-002","2021-04-15","In re Wild上诉意见发布，CVRA前置适用争议进入更高层级法理审查。","A","S05","影响受害者程序权利边界的先例讨论。"
"E-2021-003","2021-11-29","Maxwell案开审。","B","S11","案件进入公开审判阶段，证据对抗可见度上升。"
"E-2021-004","2021-12-29","陪审团作出有罪裁决。","A","S09;S11","形成对协同责任叙事的司法确认。"
"E-2022-001","2022-06-28","法院量刑20年。","A","S10;S11","标志该分支案件完成一审问责闭环。"
"E-2023-001","2023-06-27","DOJ OIG公布羁押管理失误调查报告。","A","S14;S15","将争议扩展到BOP治理与监管问责层面。"
"E-2024-001","2024-01","Giuffre v. Maxwell案部分材料继续解封。","A","S30","增加公开信息但同时抬升隐私与误读风险。"
"E-2024-002","2024-07-01","佛罗里达州依据新立法路径推动历史大陪审团材料公开。","A","S20;S21;S22","州级透明政策进入实操阶段。"
"E-2024-003","2024-09-17","第二巡回法院维持Maxwell定罪。","A","S13","上诉层面对定罪结构提供稳定性。"
"E-2024-004","2024-11-25","第二巡回法院驳回复审请求。","A","S13","为最高法院阶段申请奠定程序前提。"
"E-2025-001","2025-01-21","最高法院案卷显示对申请方延期请求予以准许。","A","S12","进入certiorari程序时间表。"
"E-2025-002","2025-04-10","Cert petition正式提交。","A","S12","将案件推进至最高法院受理筛选阶段。"
"E-2025-003","2025-07-14","联邦政府提交反对受理意见（BIO）。","A","S12","明确政府在最高法院阶段的法律立场。"
"E-2025-004","2025-07-18","司法部分别在SDNY与S.D. Fla.启动大陪审团材料解封程序。","A","S16;S18","显示“透明化”诉求进入双辖区司法程序。"
"E-2025-005","2025-08-11","SDNY就相关解封请求作出不予支持的书面意见。","A","S19","体现联邦法院对大陪审团保密规则的严格适用。"
"E-2025-006","2025-10-06","最高法院拒绝受理Maxwell案上诉请求。","A","S12;S23","上诉通道基本结束，定罪结果稳定。"
